gen,mavg,max,directory,plot,environment,neural_network_type,random_seed_for_environment,population_size,number_generations,sigma,number_fitness_runs,use_biases,number_neurons_layer1,number_neurons_layer2,number_neurons,delta_t,optimize_state_boundaries,optimize_y0,set_principle_diagonal_elements_of_W_negative,clipping_range
2499,284.4379301224661,1025.8398323814222,2020-05-16_00-02-30,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-16_00-02-30/plot.png,Hopper-v2,LNN,4,500,2500,1.0,1,False,6,3,,,,,,
2499,1237.7399783765788,1246.0841287301791,2020-05-16_00-43-20,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-16_00-43-20/plot.png,Hopper-v2,LNN,3,200,2500,2.0,1,False,6,3,,,,,,
2499,2227.8794730282307,3279.091427757082,2020-05-08_19-23-03,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-08_19-23-03/plot.png,Walker2d-v2,CTRNN,0,200,2500,1.0,1,,,,30,0.05,False,False,False,3.0
2499,797.2362179096258,947.8296569294424,2020-05-10_21-04-45,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-10_21-04-45/plot.png,HalfCheetah-v2,CTRNN,3,200,2500,1.0,1,,,,30,0.05,False,True,False,3.0
2499,1782.5235943980197,1797.0676396580013,2020-05-15_03-00-50,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-15_03-00-50/plot.png,Hopper-v2,CTRNN,2,200,2500,0.5,1,,,,5,0.05,True,False,False,
2499,1062.6610431272047,1706.0684608525657,2020-05-06_23-35-10,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-06_23-35-10/plot.png,Hopper-v2,CTRNN,0,200,2500,1.0,1,,,,30,0.05,True,False,True,
2499,2661.096755936037,3549.478483297153,2020-05-11_10-24-12,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-11_10-24-12/plot.png,Walker2d-v2,CTRNN,4,200,2500,1.0,1,,,,50,0.05,True,False,False,
2499,1533.9004557019832,1677.5294085234248,2020-05-10_11-11-08,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-10_11-11-08/plot.png,HalfCheetah-v2,CTRNN,4,200,2500,1.0,1,,,,50,0.05,True,False,False,
2499,2430.4186279254327,2735.9789455401315,2020-05-13_08-52-17,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-13_08-52-17/plot.png,Walker2d-v2,CTRNN,0,500,2500,1.0,1,,,,20,0.05,True,True,False,
2499,4376.756743505646,5099.53969472061,2020-05-12_03-42-02,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-12_03-42-02/plot.png,HalfCheetah-v2,CTRNN,0,24,2500,0.5,1,,,,20,0.05,False,False,True,1.0
2499,1518.0535964577205,1630.8090726045866,2020-05-12_16-00-24,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-12_16-00-24/plot.png,Walker2d-v2,CTRNN,2,100,2500,2.0,1,,,,10,0.05,False,False,False,1.0
2499,3092.5149655269106,3615.6783786737274,2020-05-14_22-44-52,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-14_22-44-52/plot.png,Hopper-v2,CTRNN,3,100,2500,0.5,1,,,,8,0.05,False,True,True,1.0
