gen,mavg,max,directory,plot,environment,random_seed,number_generations,type,number_neurons,delta_t,normalize_input,normalize_input_target,optimize_state_boundaries,clipping_range_max,clipping_range_min,optimize_y0,set_principle_diagonal_elements_of_W_negative,w_mask,w_mask_param,v_mask,v_mask_param,t_mask,t_mask_param,parameter_perturbations,population_size,checkpoint_frequency,initial_gene_range,mate_indpb_1,mate_indpb_2,mutation_Gaussian_sigma_1,mutation_Gaussian_sigma_2,mutation_Gaussian_sigma_3,mutation_Gaussian_indpb_1,mutation_Gaussian_indpb_2,mutation_Gaussian_indpb_3,elitist_ratio,tournsize,mu,lambda_,mutpb,include_parents_in_next_generation,keep_env_seed_fixed_during_generation,number_fitness_runs,reuse_env,mate_indpb
50,-88.28435876962702,-85.81523463650738,2020-06-05_19-04-31,,BipedalWalker-v3,0,50,MU_ES,20,0.05,True,5,legacy,1.0,-1.0,True,False,logarithmic,8,logarithmic,8,logarithmic,2,0.001,100,0,10,0.2,0.5,1.0,1.0,1.0,0.2,0.05,0.001,0.1,3,0.05,0.95,0.95,True,False,1,True,
50,91.29064989124046,125.77929716600022,2020-06-05_14-28-27,,BipedalWalker-v3,0,50,MU_ES,20,0.05,True,10,global,1.0,-1.0,True,True,logarithmic,1.5,logarithmic,8,logarithmic,8,0.0,100,0,3,0.2,0.4,5.0,5.0,1.0,0.2,0.05,0.005,0.05,5,0.3,0.95,0.99,True,False,1,True,
50,-85.92874248807277,-26.96642164311382,2020-06-06_16-19-24,,BipedalWalker-v3,0,50,MU_ES,5,0.25,False,1,per_neuron,1.0,-1.0,True,False,logarithmic,1.5,logarithmic,1.5,logarithmic,8,0.0,100,0,0.5,,,5.0,1.0,,0.1,0.03,,0.0,3,0.2,1.0,0.5,True,False,1,True,0.3
50,-102.09983171736864,-97.67592436971331,2020-06-05_13-41-44,,BipedalWalker-v3,0,50,MU_ES,20,0.05,False,5,global,1.0,-1.0,True,True,logarithmic,1.5,logarithmic,8,logarithmic,1.5,0.01,100,0,10,0.1,0.4,5.0,5.0,5.0,0.2,0.05,0.002,0.0,3,0.05,0.95,0.95,True,False,1,True,
50,-98.39584991204194,-96.1512798873282,2020-06-05_18-46-54,,BipedalWalker-v3,0,50,MU_ES,20,0.05,False,20,global,1.0,-1.0,False,False,logarithmic,8,logarithmic,1.5,logarithmic,8,0.001,100,0,3,0.1,0.4,5.0,5.0,5.0,0.1,0.05,0.005,0.0,5,0.1,0.9,0.99,True,False,1,True,
50,32.72082310064047,67.31275170878006,2020-06-05_19-08-52,,BipedalWalker-v3,0,50,MU_ES,5,0.5,False,5,fixed,1.0,-1.0,False,True,logarithmic,1.5,logarithmic,8,logarithmic,8,0.0001,100,0,1,0.2,0.5,5.0,1.0,5.0,0.2,0.01,0.002,0.0,3,0.3,0.7,0.8,True,False,1,True,
50,-40.45440033341001,-0.6590123564389974,2020-06-05_17-20-31,,BipedalWalker-v3,0,50,MU_ES,5,0.05,True,1,legacy,1.0,-1.0,True,False,logarithmic,8,logarithmic,8,logarithmic,8,0.0001,100,0,3,0.3,0.4,1.0,1.0,1.0,0.2,0.02,0.001,0.0,5,0.05,0.5,0.9,True,False,1,True,
50,-90.24332180797293,-82.57207560619773,2020-06-05_18-32-52,,BipedalWalker-v3,0,50,MU_ES,20,1.0,True,1,fixed,1.0,-1.0,False,True,logarithmic,8,logarithmic,2,logarithmic,1.5,0.0001,100,0,20,0.3,0.5,5.0,5.0,1.0,0.1,0.01,0.001,0.05,5,0.05,0.9,0.8,True,False,1,True,
50,-85.99387464679468,-14.807171037740686,2020-06-06_12-10-44,,BipedalWalker-v3,0,50,MU_ES,5,0.25,False,5,legacy,1.0,-1.0,True,False,logarithmic,2,logarithmic,1.5,logarithmic,1.5,0.0,100,0,1,,,1.0,5.0,,0.3,0.003,,0.0,3,0.3,1.0,0.5,True,False,1,True,0.5
50,-60.52409754530781,-13.873039831418353,2020-06-06_16-20-48,,BipedalWalker-v3,0,50,MU_ES,7,1.0,True,5,per_neuron,1.0,-1.0,False,True,logarithmic,8,logarithmic,8,logarithmic,8,0.1,100,0,5,,,5.0,5.0,,0.3,0.01,,0.05,3,0.3,1.0,0.5,True,False,1,True,0.5
